source,speaker,token,syllable,vowel,onset,offset,srate,TM_ms,TD_ms,TM,TD,DeltaHeightMax,LaLagTM,LaLagTD
2015_06_12_19_F_03_1_005_sync,F03,kil.b,coda,ih,36.9910927,37.23616828,100,3714,3712,37,37,19,181,181
2015_06_12_19_F_03_1_005_sync,F03,cab.l,onset,ae,43.86319796,44.10827354,100,4407,4404,44,44,16,281,280
2015_06_12_19_F_03_1_006_sync,F03,tib.l,onset,ih,2.222654168,2.434924102,100,230,226,2,2,9,-67,-67
2015_06_12_19_F_03_1_006_sync,F03,cab.l,onset,ae,4.608352961,4.847563425,100,469,464,5,5,9,-43,-44
2015_06_12_19_F_03_1_006_sync,F03,tal.b,coda,ae,9.434817587,9.689313939,100,965,945,10,9,8,17,15
2015_06_12_19_F_03_1_006_sync,F03,kil.b,coda,ih,11.73814707,11.97441689,100,1176,1175,12,12,4,78,78
2015_06_12_19_F_03_1_006_sync,F03,kib.l,onset,ih,14.06915399,14.29058755,100,1415,1410,14,14,9,52,51
2015_06_12_19_F_03_1_006_sync,F03,il.b,coda,ih,16.33518971,16.60858765,100,1639,1639,16,16,19,-26,-26
2015_06_12_19_F_03_1_006_sync,F03,tab.l,onset,ae,21.09037681,21.33672119,100,2119,2110,21,21,20,12,11
2015_06_12_19_F_03_1_006_sync,F03,al.b,coda,ae,32.60899835,32.89522236,100,3276,3266,33,33,20,128,127
2015_06_12_19_F_03_1_006_sync,F03,til.b,coda,ih,37.2492445,37.47403836,100,3734,3729,37,37,21,163,163
2015_06_12_19_F_03_1_006_sync,F03,cal.b,coda,ae,39.51911735,39.78778989,100,3969,3953,40,40,15,247,245
2015_06_12_19_F_03_1_007_sync,F03,til.b,coda,ih,7.3092965,7.540840927,100,743,740,7,7,23,-156,-156
2015_06_12_19_F_03_1_007_sync,F03,kib.l,onset,ih,9.653212382,9.889482205,100,983,978,10,10,16,-62,-62
2015_06_12_19_F_03_1_007_sync,F03,tib.l,onset,ih,18.73599049,18.94396955,100,1890,1883,19,19,14,49,48
2015_06_12_19_F_03_1_007_sync,F03,il.b,coda,ih,20.99723218,21.2584791,100,2116,2110,21,21,14,72,71
