source,speaker,token,syllable,vowel,onset,offset,TT,TM,TD,delTM,delTD
2015_06_12_19_F_03_1_006_sync,F03,kib.l,onset,ih,14.06915399,14.29058755,1415,1415,1410,0,50
2015_06_12_19_F_03_1_006_sync,F03,il.b,coda,ih,16.33518971,16.60858765,1637,1639,1639,-20,-20
2015_06_12_19_F_03_1_006_sync,F03,tab.l,onset,ae,21.09037681,21.33672119,2122,2119,2110,30,120
2015_06_12_19_F_03_1_006_sync,F03,al.b,coda,ae,32.60899835,32.89522236,3283,3276,3266,70,170
2015_06_12_19_F_03_1_006_sync,F03,til.b,coda,ih,37.2492445,37.47403836,3730,3734,3729,-40,10
2015_06_12_19_F_03_1_006_sync,F03,cal.b,coda,ae,39.51911735,39.78778989,3968,3969,3953,-10,150
2015_06_12_19_F_03_1_007_sync,F03,til.b,coda,ih,7.3092965,7.540840927,738,743,740,-50,-20
2015_06_12_19_F_03_1_007_sync,F03,kib.l,onset,ih,9.653212382,9.889482205,983,983,978,0,50
2015_06_12_19_F_03_1_007_sync,F03,tib.l,onset,ih,18.73599049,18.94396955,1890,1890,1883,0,70
2015_06_12_19_F_03_1_007_sync,F03,il.b,coda,ih,20.99723218,21.2584791,2119,2116,2110,30,90
2015_06_12_19_F_03_1_007_sync,F03,al.b,coda,ae,23.24668767,23.55991395,2340,2330,2339,100,10
2015_06_12_19_F_03_1_007_sync,F03,tal.b,coda,ae,25.7745626,26.02500861,2604,2585,2589,190,150
2015_06_12_19_F_03_1_007_sync,F03,kil.b,coda,ih,28.07873296,28.35145584,2820,2824,2822,-40,-20
2015_06_12_19_F_03_1_007_sync,F03,tab.l,onset,ae,30.39037645,30.63609706,3059,3053,3049,60,100
2015_06_12_19_F_03_1_007_sync,F03,cal.b,coda,ae,32.82247618,33.08237298,3311,3288,3295,230,160
2015_06_12_19_F_03_1_007_sync,F03,cab.l,onset,ae,35.18274419,35.42941471,3529,3529,3531,0,-20
2015_06_12_19_F_03_1_008_sync,F03,tab.l,onset,ae,10.73078739,10.98557836,1091,1089,1083,20,80
2015_06_12_19_F_03_1_008_sync,F03,tal.b,coda,ae,17.68645572,17.94200644,1775,1775,1778,0,-30
2015_06_12_19_F_03_1_008_sync,F03,til.b,coda,ih,19.9910966,20.24664732,2006,2013,2009,-70,-30
2015_06_12_19_F_03_1_008_sync,F03,il.b,coda,ih,22.41004182,22.7112529,2261,2254,2253,70,80
2015_06_12_19_F_03_1_008_sync,F03,kil.b,coda,ih,27.28058469,27.52361564,2738,2743,2740,-50,-20
2015_06_12_19_F_03_1_008_sync,F03,tib.l,onset,ih,29.68667534,29.92307817,2987,2986,2980,10,70
2015_06_12_19_F_03_1_008_sync,F03, cab.l,onset,ae,35.8064276,36.05375468,3598,3599,3593,-10,50
2015_06_12_19_F_03_1_008_sync,F03,cal.b,coda,ae,38.36349717,38.61664341,3857,3845,3849,120,80
2015_06_12_19_F_03_1_008_sync,F03,al.b,coda,ae,40.69163789,40.97853696,4081,4076,4083,50,-20
2015_06_12_19_F_03_1_008_sync,F03,kib.l,onset,ih,43.25318156,43.48691785,4346,4344,4341,20,50
2015_06_12_19_F_03_1_009_sync,F03,al.b,coda,ae,1.870274604,2.151098164,214,193,197,210,170
2015_06_12_19_F_03_1_009_sync,F03,tal.b,coda,ae,4.436588955,4.677584174,448,448,453,0,-50
2015_06_12_19_F_03_1_009_sync,F03,kib.l,onset,ih,6.807210928,7.050231317,698,696,692,20,60
2015_06_12_19_F_03_1_009_sync,F03,cal.b,coda,ae,9.156195774,9.418455277,935,921,927,140,80
2015_06_12_19_F_03_1_009_sync,F03,cab.l,onset,ae,11.78060358,12.05197635,1200,1199,1200,10,0
2015_06_12_19_F_03_1_009_sync,F03,tab.l,onset,ae,16.41781792,16.67197675,1662,1659,1651,30,110
2015_06_12_19_F_03_1_009_sync,F03,til.b,coda,ih,21.09287191,21.33184196,2121,2125,2121,-40,0
2015_06_12_19_F_03_1_009_sync,F03,il.b,coda,ih,23.40831698,23.66247581,2358,2357,2353,10,50
2015_06_12_19_F_03_1_009_sync,F03,tib.l,onset,ih,30.28266951,30.50847596,3046,3046,3042,0,40
2015_06_12_19_F_03_1_009_sync,F03,kil.b,coda,ih,34.84912266,35.09062417,3498,3500,3497,-20,10
2015_06_12_19_F_03_1_010_sync,F03,tab.l,onset,ae,1.746401711,1.9894221,189,189,179,0,100
2015_06_12_19_F_03_1_010_sync,F03,cab.l,onset,ae,4.23588103,4.511979194,444,445,443,-10,10
2015_06_12_19_F_03_1_010_sync,F03,tal.b,coda,ae,6.61022187,6.855942486,678,668,673,100,50
2015_06_12_19_F_03_1_010_sync,F03,cal.b,coda,ae,9.023419945,9.252264144,918,907,911,110,70
2015_06_12_19_F_03_1_010_sync,F03,al.b,coda,ae,11.2894555,11.59525616,1140,1136,1143,40,-30
2015_06_12_19_F_03_1_010_sync,F03,tib.l,onset,ih,23.48201233,23.70410597,2364,2364,2358,0,60
2015_06_12_19_F_03_1_010_sync,F03,kib.l,onset,ih,26.06431794,26.28506146,2623,2623,2619,0,40
2015_06_12_19_F_03_1_010_sync,F03,til.b,coda,ih,28.51818506,28.73420319,2860,2868,2861,-80,-10
2015_06_12_19_F_03_1_010_sync,F03,kil.b,coda,ih,30.91248141,31.16022719,3103,3105,3104,-20,-10
2015_06_16_21_F_04_1_001_sync,F04,tal.b,coda,ae,11.68711089,11.94430746,1188,1179,1185,90,30
2015_06_16_21_F_04_1_001_sync,F04,cal.b,coda,ae,14.03026852,14.30096623,1409,1414,1418,-50,-90
2015_06_16_21_F_04_1_001_sync,F04,til.b,coda,ih,20.56255672,20.78397529,2070,2067,2068,30,20
2015_06_16_21_F_04_1_001_sync,F04,tib.l,onset,ih,22.86512833,23.07709612,2304,2303,2302,10,20
2015_06_16_21_F_04_1_001_sync,F04,al.b,coda,ae,25.07985954,25.36743367,2534,2521,2525,130,90
2015_06_16_21_F_04_1_001_sync,F04,cab.l,onset,ae,27.38732222,27.69649816,2762,2762,2763,0,-10
2015_06_16_21_F_04_1_001_sync,F04,tab.l,onset,ae,29.76144982,30.03754798,3002,2998,2997,40,50
2015_06_16_21_F_04_1_001_sync,F04,til.b,coda,ih,36.66257983,36.88264829,3681,3678,3676,30,50
2015_06_16_21_F_04_1_002_sync,F04,il.b,coda,ih,7.756273615,8.026296269,793,793,790,0,30
2015_06_16_21_F_04_1_002_sync,F04,tab.l,onset,ae,9.886368385,10.15099059,1010,1007,1006,30,40
2015_06_16_21_F_04_1_002_sync,F04,tib.l,onset,ih,14.31949021,14.55373486,1440,1447,1444,-70,-40
2015_06_16_21_F_04_1_002_sync,F04,cal.b,coda,ae,24.80658156,25.06040285,2499,2492,2494,70,50
2015_06_16_21_F_04_1_002_sync,F04,til.b,coda,ih,29.0601859,29.29645572,2920,2919,2918,10,20
2015_06_16_21_F_04_1_002_sync,F04,tal.b,coda,ae,31.14023744,31.37920749,3125,3128,3131,-30,-60
2015_06_16_21_F_04_1_002_sync,F04,tib.l,onset,ih,40.22537751,40.47784869,4044,4041,4039,30,50
2015_06_16_21_F_04_1_003_sync,F04,til.b,coda,ih,2.87072662,3.084044517,298,298,295,0,30
2015_06_16_21_F_04_1_003_sync,F04,cal.b,coda,ae,12.81898648,13.09981004,1309,1296,1302,130,70
2015_06_16_21_F_04_1_003_sync,F04,tib.l,onset,ih,16.81184124,17.07511332,1697,1697,1693,0,40
2015_06_16_21_F_04_1_003_sync,F04,til.b,coda,ih,24.7109777,24.90134367,2492,2484,2483,80,90
2015_06_16_21_F_04_1_003_sync,F04,tal.b,coda,ae,31.02538862,31.25220765,3115,3116,3116,-10,-10
2015_06_16_21_F_04_1_003_sync,F04,al.b,coda,ae,32.98738812,33.27901258,3326,3316,3316,100,100
2015_06_16_21_F_04_1_003_sync,F04,tib.l,onset,ih,37.10504545,37.39666991,3734,3731,3726,30,80
2015_06_16_21_F_04_1_004_sync,F04,tab.l,onset,ae,11.21861718,11.49066501,1127,1140,1138,-130,-110
2015_06_16_21_F_04_1_004_sync,F04,til.b,coda,ih,13.38262457,13.60404315,1352,1353,1345,-10,70
2015_06_16_21_F_04_1_004_sync,F04,tal.b,coda,ae,23.45032948,23.68659931,2369,2357,2359,120,100
2015_06_16_21_F_04_1_004_sync,F04,il.b,coda,ih,25.40768666,25.65171964,2546,2555,2555,-90,-90
2015_06_16_21_F_04_1_004_sync,F04,al.b,coda,ae,27.37762116,27.64224336,2765,2751,2754,140,110
2015_06_16_21_F_04_1_004_sync,F04,tib.l,onset,ih,29.40577655,29.64069626,2957,2959,2957,-20,0
2015_06_16_21_F_04_1_004_sync,F04,cab.l,onset,ae,33.49297423,33.79674971,3377,3376,3374,10,30
2015_06_16_21_F_04_1_004_sync,F04,tib.l,onset,ih,35.68702784,35.94489948,3588,3587,3586,10,20
2015_06_16_21_F_04_1_004_sync,F04,til.b,coda,ih,37.77788055,37.98849822,3792,3794,3793,-20,-10
2015_06_16_21_F_04_1_004_sync,F04,tal.b,coda,ae,40.55814381,40.80521454,4077,4068,4072,90,50
2015_06_16_21_F_04_1_005_sync,F04,kil.b,coda,ih,5.202325625,5.422394089,529,533,533,-40,-40
2015_06_16_21_F_04_1_005_sync,F04,il.b,coda,ih,7.161535921,7.432908689,732,729,728,30,40
