source,speaker,srate,token,syllable,vowel,onset,offset,DeltaHeightMin,DeltaHeightMax,LaDuration_v1,LaDuration,comments,,
2015_06_18_19_F_05_1_007_sync,F05,100,il.b,coda,ih,5.518975317,5.750856832,7,15,80,80,,,
2015_06_18_19_F_05_1_007_sync,F05,100,al.b,coda,ae,13.7659255,14.05425186,1,15,140,140,,,
2015_06_18_19_F_05_1_007_sync,F05,100,kib.l,onset,ih,15.91607372,16.17541489,11,29,180,180,,,
2015_06_18_19_F_05_1_007_sync,F05,100,tab.l,onset,ae,20.43271425,20.70578524,8,23,150,150,,,
2015_06_18_19_F_05_1_007_sync,F05,100,kil.b,coda,ih,22.60436075,22.83166565,2,9,70,70,,,
2015_06_18_19_F_05_1_007_sync,F05,100,tib.l,onset,ih,27.00520156,27.23250646,5,21,160,160,,,
2015_06_18_19_F_05_1_007_sync,F05,100,cab.l,onset,ae,29.15992641,29.41774204,1,20,190,190,,,
2015_06_18_19_F_05_1_007_sync,F05,100,tal.b,coda,ae,31.49826696,31.76523581,1,15,140,140,,,
2015_06_18_19_F_05_1_007_sync,F05,100,til.b,coda,ih,36.13237398,36.33221924,3,26,230,230,,,
2015_06_18_19_F_05_1_007_sync,F05,100,cal.b,coda,ae,38.24022995,38.46448379,21,28,70,70,,,
2015_06_18_19_F_05_1_008_sync,F05,100,kil.b,coda,ih,5.696982104,5.925812547,15,27,120,120,,,
2015_06_18_19_F_05_1_008_sync,F05,100,tal.b,coda,ae,10.56116221,10.82660552,5,25,200,200,,,
2015_06_18_19_F_05_1_008_sync,F05,100,kib.l,onset,ih,18.09305737,18.33714318,12,30,180,180,,,
2015_06_18_19_F_05_1_008_sync,F05,100,tab.l,onset,ae,23.54407627,23.78663654,5,21,160,160,,,
2015_06_18_19_F_05_1_008_sync,F05,100,cal.b,coda,ae,35.61563643,35.86429884,1,9,80,80,,,
2015_06_18_19_F_05_1_008_sync,F05,100,tib.l,onset,ih,38.18280729,38.42994417,4,20,160,160,,,
2015_06_18_19_F_05_1_008_sync,F05,100,al.b,coda,ae,40.51878888,40.77660451,1,11,100,100,,,
2015_06_18_19_F_05_1_008_sync,F05,100,il.b,coda,ih,42.85047574,43.12659781,4,12,80,80,,,
2015_06_18_19_F_05_1_009_sync,F05,100,til.b,coda,ih,5.294721518,5.476260336,1,25,240,240,,,
2015_06_18_19_F_05_1_009_sync,F05,100,tab.l,onset,ae,11.55188024,11.79825435,1,19,180,180,,,
2015_06_18_19_F_05_1_009_sync,F05,100,cal.b,coda,ae,13.77275418,14.02523044,1,9,80,80,,,
2015_06_18_19_F_05_1_009_sync,F05,100,al.b,coda,ae,18.13400105,18.39639329,1,12,110,110,,,
2015_06_18_19_F_05_1_009_sync,F05,100,tib.l,onset,ih,31.67699205,31.92031509,1,6,50,50,,,
2015_06_18_19_F_05_1_009_sync,F05,100,il.b,coda,ih,33.97723539,34.24420424,1,6,50,50,,,
2015_06_18_19_F_05_1_010_sync,F05,100,tab.l,onset,ae,2.919457458,3.151338973,8,21,130,130,,,
2015_06_18_19_F_05_1_010_sync,F05,100,cal.b,coda,ae,9.362691216,9.602200414,1,8,70,70,,,
2015_06_18_19_F_05_1_010_sync,F05,100,al.b,coda,ae,11.60617325,11.8563612,1,11,100,100,,,
2015_06_18_19_F_05_1_010_sync,F05,100,tib.l,onset,ih,22.61653167,22.83163229,6,21,150,150,,,
2015_06_18_19_F_05_1_010_sync,F05,100,kib.l,onset,ih,24.72812499,24.96763419,11,25,140,140,,,
2015_06_18_19_F_05_1_010_sync,F05,100,til.b,coda,ih,27.45831734,27.66884135,2,24,220,220,,,
2015_06_18_19_F_05_1_010_sync,F05,100,kil.b,coda,ih,29.85698736,30.10793808,3,12,90,90,,,
2015_06_18_19_F_05_1_010_sync,F05,100,il.b,coda,ih,32.19914206,32.48441735,5,13,80,80,,,
2015_06_19_19_M_06_1_001_sync,M06,100,al.b,coda,ae,24.64766304,24.99701085,11,28,170,170,red - left dominant - 29,,
2015_06_19_19_M_06_1_001_sync,M06,100,kil.b,coda,ih,32.48147509,32.82472075,6,20,140,140,black - right dominant - 37,,
2015_06_19_19_M_06_1_001_sync,M06,100,al.b,coda,ae,35.01720085,35.37781286,8,19,110,110,bad - 1,,
2015_06_19_19_M_06_1_001_sync,M06,100,til.b,coda,ih,37.80484294,38.0977459,4,12,80,80,,,
2015_06_19_19_M_06_1_001_sync,M06,100,il.b,coda,ih,40.2879687,40.64189312,1,10,90,90,,,
2015_06_19_19_M_06_1_001_sync,M06,100,til.b,coda,ih,44.74899818,45.06020758,1,5,40,40,,,
2015_06_19_19_M_06_1_001_sync,M06,100,til.b,coda,ih,47.4136627,47.68520816,12,26,140,140,,,
2015_06_19_19_M_06_1_001_sync,M06,100,cal.b,coda,ae,49.68418758,50.01370342,6,15,90,90,,,
2015_06_19_19_M_06_1_001_sync,M06,100,tab.l,onset,ae,52.24137228,52.54495401,16,25,90,90,,,
2015_06_19_19_M_06_1_003_sync,M06,100,cal.b,coda,ae,2.555165146,2.848068113,3,11,80,80,,,
2015_06_19_19_M_06_1_003_sync,M06,100,tal.b,coda,ae,6.760608118,7.085547348,6,13,70,70,,,
2015_06_19_19_M_06_1_003_sync,M06,100,kil.b,coda,ih,10.75441197,11.00917653,7,19,120,120,,,
2015_06_19_19_M_06_1_003_sync,M06,100,til.b,coda,ih,21.18645491,21.48393448,7,26,190,190,,,
2015_06_19_19_M_06_1_003_sync,M06,100,cal.b,coda,ae,23.30859169,23.63810753,9,14,50,50,,,
2015_06_19_19_M_06_1_003_sync,M06,100,tab.l,onset,ae,27.91135391,28.21493563,18,24,60,60,,,
2015_06_19_19_M_06_1_003_sync,M06,100,il.b,coda,ih,29.99410877,30.3404055,1,16,150,150,,,
2015_06_19_19_M_06_1_003_sync,M06,100,al.b,coda,ae,32.11901486,32.47293927,10,24,140,140,,,
2015_06_19_19_M_06_1_003_sync,M06,100,kil.b,coda,ih,36.40834995,36.75769776,4,11,70,70,,,
2015_06_19_19_M_06_1_003_sync,M06,100,til.b,coda,ih,38.77262406,39.11739526,12,39,270,270,,,
2015_06_19_19_M_06_1_003_sync,M06,100,kil.b,coda,ih,42.00977435,42.27826874,13,22,90,90,,,
2015_06_19_19_M_06_1_003_sync,M06,100,tib.l,onset,ih,47.91630606,48.15428973,1,12,110,110,,,
2015_06_19_19_M_06_1_004_sync,M06,100,tal.b,coda,ae,4.449844949,4.72444148,1,8,70,70,,,
2015_06_19_19_M_06_1_004_sync,M06,100,tab.l,onset,ae,10.65898431,10.98544908,1,8,70,70,,,
2015_06_19_19_M_06_1_004_sync,M06,100,al.b,onset,ae,14.5749858,14.8648377,6,18,120,120,,,
2015_06_19_19_M_06_1_004_sync,M06,100,il.b,coda,ih,20.65805697,20.99367495,1,14,130,130,,,
2015_06_19_19_M_06_1_004_sync,M06,100,kil.b,coda,ih,22.79683378,23.11261979,1,13,120,120,,,
2015_06_19_19_M_06_1_004_sync,M06,100,til.b,coda,ih,27.1298579,27.38462246,4,16,120,120,,,
2015_06_19_19_M_06_1_004_sync,M06,100,kil.b,coda,ih,29.24644392,29.52104045,1,11,100,100,,,
2015_06_19_19_M_06_1_004_sync,M06,100,cab.l,onset,ae,32.19319103,32.46015988,10,18,80,80,,,
2015_06_19_19_M_06_1_004_sync,M06,100,cal.b,coda,ae,36.87222997,37.15750525,23,46,230,230,,,
2015_06_19_19_M_06_1_005_sync,M06,100,tal.b,coda,ae,3.785850103,4.022308227,1,7,60,60,,,
2015_06_19_19_M_06_1_005_sync,M06,100,kib.l,onset,ih,5.8817711,6.138061196,1,17,160,160,,,
2015_06_19_19_M_06_1_005_sync,M06,100,til.b,coda,ih,8.097376223,8.327732203,1,13,120,120,,,
2015_06_19_19_M_06_1_005_sync,M06,100,al.b,coda,ae,12.09603881,12.35537998,3,12,90,90,,,
2015_06_19_19_M_06_1_005_sync,M06,100,tab.l,onset,ae,14.20776652,14.4930418,12,22,100,100,,,
2015_06_19_19_M_06_1_005_sync,M06,100,tib.l,onset,ih,26.8115976,27.04805572,8,17,90,90,,,
2015_06_19_19_M_06_1_005_sync,M06,100,cab.l,onset,ae,28.79560308,29.03816335,6,16,100,100,,,
2015_06_19_19_M_06_1_005_sync,M06,100,il.b,coda,ih,30.68280754,30.95587853,1,15,140,140,,,
2015_06_19_19_M_06_1_005_sync,M06,100,kil.b,coda,ih,36.81927279,37.0465777,25,30,50,50,,,
2015_06_19_19_M_06_1_005_sync,M06,100,cab.l,onset,ae,38.65710853,38.91492416,1,18,170,170,,,
2015_06_19_19_M_06_1_006_sync,M06,100,tal.b,coda,ae,2.872998837,3.120135715,1,8,70,70,,,
2015_06_19_19_M_06_1_006_sync,M06,100,til.b,coda,ih,8.499143535,8.709667542,10,24,140,140,,,
2015_06_19_19_M_06_1_006_sync,M06,100,tib.l,onset,ih,10.51878777,10.86813558,18,35,170,170,,,
2015_06_19_19_M_06_1_006_sync,M06,100,cab.l,onset,ae,12.59141538,12.84770548,12,31,190,190,,,
2015_06_19_19_M_06_1_006_sync,M06,100,al.b,coda,ae,16.51726276,16.80406358,14,34,200,200,,,
2015_06_19_19_M_06_1_006_sync,M06,100,cal.b,coda,ae,20.568627,20.80661066,14,37,230,230,,,
2015_06_19_19_M_06_1_006_sync,M06,100,tab.l,onset,ae,24.60126199,24.8621287,17,31,140,140,,,
2015_06_19_19_M_06_1_006_sync,M06,100,il.b,coda,ih,30.65313088,30.87280811,4,35,310,310,,,
2015_06_19_19_M_06_1_006_sync,M06,100,kil.b,coda,ih,34.88782899,35.11513389,24,31,70,70,,,
2015_06_19_19_M_06_1_006_sync,M06,100,kib.l,onset,ih,37.01259417,37.32227804,18,40,220,220,,,
2015_06_19_19_M_06_1_007_sync,M06,100,cab.l,onset,ae,3.449087967,3.693936541,1,19,180,180,,,
2015_06_19_19_M_06_1_007_sync,M06,100,kil.b,coda,ih,7.366996469,7.583622621,1,12,110,110,,,
2015_06_19_19_M_06_1_007_sync,M06,100,tab.l,onset,ae,15.6321817,15.90525269,16,23,70,70,,,
2015_06_19_19_M_06_1_007_sync,M06,100,al.b,coda,ae,19.64998415,19.89559549,10,15,50,50,,,
2015_06_19_19_M_06_1_007_sync,M06,100,cal.b,coda,ae,23.88191294,24.09548802,1,7,60,60,,,
2015_06_19_19_M_06_1_007_sync,M06,100,til.b,coda,ih,26.03635579,26.2514564,1,10,90,90,,,
2015_06_19_19_M_06_1_007_sync,M06,100,tal.b,coda,ae,30.27105401,30.49988445,21,26,50,50,,,
2015_06_19_19_M_06_1_007_sync,M06,100,il.b,coda,ih,32.21012674,32.46336577,10,25,150,150,,,
2015_06_19_19_M_06_1_008_sync,M06,100,cab.l,onset,ae,8.675807577,8.900061411,13,26,130,130,,,
2015_06_19_19_M_06_1_008_sync,M06,100,cal.b,coda,ae,15.03204998,15.27766132,1,9,80,80,,,
2015_06_19_19_M_06_1_008_sync,M06,100,cab.l,onset,ae,21.50856919,21.76791036,1,5,40,40,,,
2015_06_19_19_M_06_1_008_sync,M06,100,il.b,coda,ih,23.697266,23.98101575,1,4,30,30,,,
2015_06_19_19_M_06_1_008_sync,M06,100,tib.l,onset,ih,28.82994128,29.05572065,1,6,50,50,,,
2015_06_19_19_M_06_1_008_sync,M06,100,til.b,coda,ih,31.21404776,31.42609731,1,9,80,80,,,
2015_06_19_19_M_06_1_008_sync,M06,100,kil.b,coda,ih,33.72158174,33.95193772,1,10,90,90,,,
2015_06_19_19_M_06_1_008_sync,M06,100,kib.l,onset,ih,35.99238814,36.25783145,1,9,80,80,,,
2015_06_23_19_M_07_1_001_sync,M07,100,tib.l,onset,ih,12.08351001,12.30852661,1,15,140,140,red - left dominant - ,,
2015_06_23_19_M_07_1_001_sync,M07,100,kib.l,onset,ih,16.74788736,16.95230922,1,9,80,80,black - right dominant - 2,,
2015_06_23_19_M_07_1_001_sync,M07,100,al.b,coda,ae,18.82924551,19.07028025,1,8,70,70,bad - 3,,
2015_06_23_19_M_07_1_001_sync,M07,100,kil.b,coda,ih,23.97329164,24.16856028,1,14,130,130,,,
2015_06_23_19_M_07_1_001_sync,M07,100,il.b,coda,ih,28.2218608,28.45984446,1,14,130,130,,,
2015_06_23_19_M_07_1_001_sync,M07,100,al.b,coda,ae,32.81561167,33.0566464,21,29,80,80,,,
2015_06_23_19_M_07_1_001_sync,M07,100,tab.l,onset,ae,44.16851705,44.41107732,1,12,110,110,,,
2015_06_23_19_M_07_1_001_sync,M07,100,tab.l,onset,ae,46.38023802,46.60906846,1,5,40,40,,,
2015_06_23_19_M_07_1_002_sync,M07,100,tal.b,coda,ae,7.681272783,7.899424472,15,20,50,50,,,
2015_06_23_19_M_07_1_002_sync,M07,100,al.b,coda,ae,9.707159951,9.914632886,10,24,140,140,,,
2015_06_23_19_M_07_1_002_sync,M07,100,kil.b,coda,ih,15.92433763,16.10129984,1,4,30,30,,,
2015_06_23_19_M_07_1_002_sync,M07,100,cal.b,coda,ae,20.63998972,20.87492231,1,7,60,60,,,
2015_06_23_19_M_07_1_002_sync,M07,100,cab.l,onset,ae,27.13841735,27.37029886,1,5,40,40,,,
2015_06_23_19_M_07_1_002_sync,M07,100,tib.l,onset,ih,34.08132746,34.26591735,1,7,60,60,,,
2015_06_23_19_M_07_1_002_sync,M07,100,il.b,coda,ih,38.68866632,38.89919033,1,20,190,190,,,
2015_06_23_19_M_07_1_003_sync,M07,100,til.b,coda,ih,3.99637411,4.164183102,1,7,60,60,,,
2015_06_23_19_M_07_1_003_sync,M07,100,tal.b,coda,ae,6.154560078,6.352879795,1,7,60,60,,,
2015_06_23_19_M_07_1_003_sync,M07,100,kib.l,onset,ih,14.13496332,14.34548733,1,7,60,60,,,
2015_06_23_19_M_07_1_003_sync,M07,100,tab.l,onset,ae,16.15488925,16.38219416,1,8,70,70,,,
2015_06_23_19_M_07_1_003_sync,M07,100,til.b,coda,ih,21.02517175,21.2204404,8,12,40,40,,,
2015_06_23_19_M_07_1_003_sync,M07,100,al.b,coda,ae,29.77650968,30.03432531,1,4,30,30,,,
2015_06_23_19_M_07_1_003_sync,M07,100,cal.b,coda,ae,34.88103259,35.1083375,1,6,50,50,,,
2015_06_23_19_M_07_1_003_sync,M07,100,tib.l,onset,ih,37.52600556,37.68771241,1,4,30,30,,,
2015_06_23_19_M_07_1_003_sync,M07,100,tab.l,onset,ae,39.88570322,40.07486972,1,4,30,30,,,
2015_06_23_19_M_07_1_004_sync,M07,100,il.b,coda,ih,7.683422945,7.895472489,1,10,90,90,,,
2015_06_23_19_M_07_1_004_sync,M07,100,til.b,coda,ih,9.776152075,9.95921643,1,8,70,70,,,
2015_06_23_19_M_07_1_004_sync,M07,100,cal.b,coda,ae,18.18480903,18.4273693,1,8,70,70,,,
2015_06_23_19_M_07_1_004_sync,M07,100,tab.l,onset,ae,26.14953494,26.37531431,1,8,70,70,,,
2015_06_23_19_M_07_1_004_sync,M07,100,tib.l,onset,ih,28.08610808,28.27374904,1,11,100,100,,,
2015_06_23_19_M_07_1_004_sync,M07,100,til.b,coda,ih,30.10131678,30.27522791,1,8,70,70,,,
2015_06_23_19_M_07_1_004_sync,M07,100,tal.b,coda,ae,34.47109553,34.70450258,1,6,50,50,,,
2015_06_23_19_M_07_1_004_sync,M07,100,al.b,coda,ae,36.30962385,36.55523519,1,12,110,110,,,
2015_06_23_19_M_07_1_004_sync,M07,100,tib.l,onset,ih,38.45505444,38.64422094,1,8,70,70,,,
2015_06_23_19_M_07_1_004_sync,M07,100,tab.l,onset,ae,40.63959749,40.85622365,1,11,100,100,,,
2015_06_23_19_M_07_1_005_sync,M07,100,tab.l,onset,ae,6.655817261,6.895326458,1,8,70,70,,,
2015_06_23_19_M_07_1_005_sync,M07,100,cab.l,onset,ae,10.83421149,11.05693979,1,17,160,160,,,
2015_06_23_19_M_07_1_005_sync,M07,100,al.b,coda,ae,18.64292197,18.88243116,1,10,90,90,,,
2015_06_23_19_M_07_1_005_sync,M07,100,tab.l,onset,ae,20.60321128,20.81983743,1,8,70,70,,,
2015_06_23_19_M_07_1_005_sync,M07,100,tib.l,onset,ih,22.56502611,22.76182029,1,16,150,150,,,
2015_06_23_19_M_07_1_005_sync,M07,100,til.b,coda,ih,26.65715714,26.85090025,1,8,70,70,,,
2015_06_23_19_M_07_1_005_sync,M07,100,tal.b,coda,ae,28.91020849,29.13293678,1,7,60,60,,,
2015_06_23_19_M_07_1_005_sync,M07,100,il.b,coda,ih,31.95375715,32.17495991,1,9,80,80,,,
2015_06_23_19_M_07_1_005_sync,M07,100,tib.l,onset,ih,36.42422116,36.59203015,1,12,110,110,,,
2015_06_23_19_M_07_1_005_sync,M07,100,til.b,coda,ih,39.29080756,39.5150614,1,23,220,220,,,
2015_06_23_19_M_07_1_006_sync,M07,100,tib.l,onset,ih,5.309110612,5.483021749,1,12,110,110,,,
2015_06_23_19_M_07_1_006_sync,M07,100,kib.l,onset,ih,7.537753131,7.723868558,1,9,80,80,,,
2015_06_23_19_M_07_1_006_sync,M07,100,tab.l,onset,ae,22.02573692,22.24693968,1,5,40,40,,,
2015_06_23_19_M_07_1_006_sync,M07,100,tal.b,coda,ae,24.00974229,24.23094506,1,12,110,110,,,
2015_06_23_19_M_07_1_006_sync,M07,100,il.b,coda,ih,25.99069662,26.21495046,1,11,100,100,,,
2015_06_23_19_M_07_1_006_sync,M07,100,tal.b,coda,ae,30.66751793,30.88566962,1,8,70,70,,,
2015_06_23_19_M_07_1_006_sync,M07,100,al.b,coda,ae,32.87411067,33.12582416,1,10,90,90,,,
2015_06_23_19_M_07_1_006_sync,M07,100,tab.l,onset,ae,35.4060528,35.64251093,12,16,40,40,,,
2015_06_23_19_M_07_1_006_sync,M07,100,til.b,coda,ih,37.60349218,37.80943957,1,6,50,50,,,
2015_06_23_19_M_07_1_006_sync,M07,100,kil.b,coda,ih,39.85959415,40.04723511,1,8,70,70,,,
2015_06_23_19_M_07_1_007_sync,M07,100,cal.b,coda,ae,3.744660623,3.970439993,1,11,100,100,,,
2015_06_23_19_M_07_1_007_sync,M07,100,tib.l,onset,ih,10.25848471,10.45070229,1,14,130,130,,,
2015_06_23_19_M_07_1_007_sync,M07,100,il.b,coda,ih,15.80401611,16.04047424,1,9,80,80,,,
2015_06_23_19_M_07_1_007_sync,M07,100,til.b,coda,ih,20.24687922,20.44672447,1,13,120,120,,,
2015_06_23_19_M_07_1_007_sync,M07,100,cab.l,onset,ae,22.39383513,22.6196145,1,9,80,80,,,
2015_06_23_19_M_07_1_007_sync,M07,100,tib.l,onset,ih,28.68645641,28.90613363,1,15,140,140,,,
2015_06_23_19_M_07_1_007_sync,M07,100,al.b,coda,ae,30.67532034,30.87516559,1,12,110,110,,,
2015_06_23_19_M_07_1_007_sync,M07,100,tal.b,coda,ae,32.82241726,33.01921145,1,9,80,80,,,
2015_06_23_19_M_07_1_007_sync,M07,100,til.b,coda,ih,34.96646303,35.15105293,1,5,40,40,,,
2015_06_23_19_M_07_1_008_sync,M07,100,tal.b,coda,ae,3.302537263,3.491703763,1,10,90,90,,,
2015_06_23_19_M_07_1_008_sync,M07,100,cal.b,coda,ae,7.650817628,7.878122535,1,6,50,50,,,
2015_06_23_19_M_07_1_008_sync,M07,100,al.b,coda,ae,9.584480579,9.798055659,1,6,50,50,,,
2015_06_23_19_M_07_1_008_sync,M07,100,tab.l,onset,ae,15.19117499,15.40780114,1,15,140,140,,,
2015_06_23_19_M_07_1_008_sync,M07,100,tib.l,onset,ih,17.35269426,17.52050325,1,10,90,90,,,
2015_06_23_19_M_07_1_008_sync,M07,100,tab.l,onset,ae,23.13718403,23.35838679,1,16,150,150,,,
2015_06_23_19_M_07_1_008_sync,M07,100,kib.l,onset,ih,25.1858136,25.39023546,1,17,160,160,,,
2015_06_23_19_M_07_1_008_sync,M07,100,til.b,coda,ih,27.17675465,27.36897222,1,9,80,80,,,
2015_06_23_19_M_07_1_008_sync,M07,100,il.b,coda,ih,31.46124426,31.69465131,1,9,80,80,,,
2015_06_23_19_M_07_1_008_sync,M07,100,til.b,coda,ih,33.41612379,33.61444351,1,15,140,140,,,
2015_06_23_19_M_07_1_009_sync,M07,100,til.b,coda,ih,2.839575352,3.007384344,1,9,80,80,,,
2015_06_23_19_M_07_1_009_sync,M07,100,kib.l,onset,ih,8.720724703,8.909891203,1,15,140,140,,,
2015_06_23_19_M_07_1_009_sync,M07,100,kil.b,coda,ih,18.70343984,18.90633616,1,10,90,90,,,
2015_06_23_19_M_07_1_009_sync,M07,100,cab.l,onset,ae,20.63696158,20.84748559,1,13,120,120,,,
2015_06_23_19_M_07_1_009_sync,M07,100,cal.b,coda,ae,30.10113543,30.33606802,1,12,110,110,,,
2015_06_23_19_M_07_1_009_sync,M07,100,al.b,coda,ae,32.38691519,32.61727117,1,10,90,90,,,
2015_06_23_19_M_07_1_009_sync,M07,100,il.b,coda,ih,34.92717755,35.20024855,1,11,100,100,,,
2015_06_23_19_M_07_1_009_sync,M07,100,tib.l,onset,ih,37.84743935,38.04423353,13,18,50,50,,,
2015_06_23_19_M_07_1_010_sync,M07,100,cab.l,onset,ae,4.849969713,5.077274619,1,8,70,70,,,
2015_06_23_19_M_07_1_010_sync,M07,100,tal.b,coda,ae,6.96474832,7.164593573,1,8,70,70,,,
2015_06_23_19_M_07_1_010_sync,M07,100,tal.b,coda,ae,9.000762934,9.246374276,1,8,70,70,,,
2015_06_23_19_M_07_1_010_sync,M07,100,tib.l,onset,ih,20.78802113,20.9802387,1,7,60,60,,,
2015_06_23_19_M_07_1_010_sync,M07,100,kib.l,onset,ih,22.93290004,23.12206654,1,14,130,130,,,
2015_06_23_19_M_07_1_010_sync,M07,100,til.b,coda,ih,25.16099121,25.35015771,9,12,30,30,,,
2015_06_23_19_M_07_1_010_sync,M07,100,kil.b,coda,ih,27.1784174,27.35843069,1,8,70,70,,,
2015_06_23_19_M_07_1_010_sync,M07,100,il.b,coda,ih,29.15603872,29.39402238,1,12,110,110,,,
2015_06_23_19_M_08_1_001_sync,M08,100,tib.l,onset,ih,14.28681179,14.44851863,12,35,230,230,red - left dominant - 10,,
2015_06_23_19_M_08_1_001_sync,M08,100,tib.l,onset,ih,16.40520523,16.57453976,15,31,160,160,black - right dominant - 87,,
2015_06_23_19_M_08_1_001_sync,M08,100,kil.b,coda,ih,19.183592,19.34987545,10,34,240,240,bad - 2,,
2015_06_23_19_M_08_1_001_sync,M08,100,il.b,coda,ih,21.61734842,21.82634689,13,39,260,260,,,
2015_06_23_19_M_08_1_001_sync,M08,100,al.b,coda,ae,26.11193834,26.32093681,13,40,270,270,,,
2015_06_23_19_M_08_1_001_sync,M08,100,tab.l,onset,ae,28.99447183,29.21262352,17,36,190,190,,,
2015_06_23_19_M_08_1_001_sync,M08,100,til.b,coda,ih,33.9723749,34.1447605,9,30,210,210,,,
2015_06_23_19_M_08_1_001_sync,M08,100,cal.b,coda,ae,36.49072821,36.68904792,10,37,270,270,,,
2015_06_23_19_M_08_1_001_sync,M08,100,cab.l,onset,ae,39.23000238,39.44052638,13,35,220,220,,,
2015_06_23_19_M_08_1_001_sync,M08,100,tal.b,coda,ae,46.121736,46.30785143,7,38,310,310,,,
2015_06_23_19_M_08_1_002_sync,M08,100,il.b,coda,ih,4.564694389,4.795050368,11,39,280,280,,,
2015_06_23_19_M_08_1_002_sync,M08,100,tal.b,coda,ae,6.958646188,7.158491442,7,32,250,250,,,
2015_06_23_19_M_08_1_002_sync,M08,100,kib.l,onset,ih,13.79255115,13.98019211,18,34,160,160,,,
2015_06_23_19_M_08_1_002_sync,M08,100,kil.b,coda,ih,20.57847223,20.76306212,13,30,170,170,,,
2015_06_23_19_M_08_1_002_sync,M08,100,kib.l,onset,ih,23.10195378,23.29417135,7,31,240,240,,,
2015_06_23_19_M_08_1_002_sync,M08,100,cal.b,coda,ae,29.79495819,30.02836524,13,35,220,220,,,
2015_06_23_19_M_08_1_002_sync,M08,100,tab.l,onset,ae,33.92591969,34.12118833,1,35,340,340,,,
2015_06_23_19_M_08_1_002_sync,M08,100,til.b,coda,ih,36.11725719,36.29116833,3,28,250,250,,,
2015_06_23_19_M_08_1_002_sync,M08,100,cab.l,onset,ae,38.21858808,38.41995887,9,31,220,220,,,
2015_06_23_19_M_08_1_002_sync,M08,100,al.b,coda,ae,42.4883734,42.6775399,1,29,280,280,,,
2015_06_23_19_M_08_1_003_sync,M08,100,il.b,coda,ih,7.914974857,8.101090284,12,28,160,160,,,
2015_06_23_19_M_08_1_003_sync,M08,100,kib.l,onset,ih,11.94390143,12.12238918,8,28,200,200,,,
2015_06_23_19_M_08_1_003_sync,M08,100,tal.b,coda,ae,17.98928668,18.16548612,14,31,170,170,,,
2015_06_23_19_M_08_1_003_sync,M08,100,cal.b,coda,ae,20.05941444,20.26917568,16,33,170,170,,,
2015_06_23_19_M_08_1_003_sync,M08,100,til.b,coda,ih,24.31016566,24.48560233,10,34,240,240,,,
2015_06_23_19_M_08_1_003_sync,M08,100,cab.l,onset,ae,26.45657034,26.67014542,11,31,200,200,,,
2015_06_23_19_M_08_1_003_sync,M08,100,kil.b,coda,ih,28.66607337,28.85371433,12,32,200,200,,,
2015_06_23_19_M_08_1_003_sync,M08,100,al.b,coda,ae,30.68128195,30.89943364,11,32,210,210,,,
2015_06_23_19_M_08_1_003_sync,M08,100,kib.l,onset,ih,36.65351185,36.82742299,7,30,230,230,,,
2015_06_23_19_M_08_1_003_sync,M08,100,kib.l,onset,ih,38.68196289,38.89172413,17,30,130,130,,,
2015_06_23_19_M_08_1_004_sync,M08,100,cab.l,onset,ae,5.31643733,5.51780812,14,40,260,260,,,
2015_06_23_19_M_08_1_004_sync,M08,100,al.b,coda,ae,7.146081585,7.359656665,15,41,260,260,,,
2015_06_23_19_M_08_1_004_sync,M08,100,kil.b,coda,ih,14.65218383,14.8108396,11,32,210,210,,,
2015_06_23_19_M_08_1_004_sync,M08,100,kib.l,onset,ih,16.52122269,16.67530186,13,33,200,200,,,
2015_06_23_19_M_08_1_004_sync,M08,100,til.b,coda,ih,18.6240789,18.77815806,7,38,310,310,,,
2015_06_23_19_M_08_1_004_sync,M08,100,tab.l,onset,ae,20.87033547,21.05034875,15,30,150,150,,,
2015_06_23_19_M_08_1_004_sync,M08,100,tal.b,coda,ae,26.85369548,27.04133644,10,40,300,300,,,
2015_06_23_19_M_08_1_004_sync,M08,100,cal.b,coda,ae,31.21403843,31.3894751,8,36,280,280,,,
2015_06_23_19_M_08_1_004_sync,M08,100,il.b,coda,ih,33.06906551,33.28569166,16,36,200,200,,,
2015_06_23_19_M_08_1_004_sync,M08,100,tib.l,onset,ih,35.2726071,35.43278841,11,32,210,210,,,
2015_06_23_19_M_08_1_005_sync,M08,100,tal.b,coda,ae,5.32589302,5.521161665,10,40,300,300,,,
2015_06_23_19_M_08_1_005_sync,M08,100,til.b,coda,ih,9.048574691,9.190449565,10,32,220,220,,,
2015_06_23_19_M_08_1_005_sync,M08,100,al.b,coda,ae,12.47086666,12.65850763,16,42,260,260,,,
2015_06_23_19_M_08_1_005_sync,M08,100,tib.l,onset,ih,16.22696927,16.38562504,12,32,200,200,,,
2015_06_23_19_M_08_1_005_sync,M08,100,kib.l,onset,ih,21.66377749,21.81938219,10,29,190,190,,,
2015_06_23_19_M_08_1_005_sync,M08,100,il.b,coda,ih,23.47401287,23.67690919,14,34,200,200,,,
2015_06_23_19_M_08_1_005_sync,M08,100,cab.l,onset,ae,27.64449754,27.86722584,14,41,270,270,,,
2015_06_23_19_M_08_1_005_sync,M08,100,tab.l,onset,ae,30.02721946,30.24537115,14,39,250,250,,,
2015_06_23_19_M_08_1_005_sync,M08,100,kil.b,coda,ih,33.85363763,34.03365091,9,41,320,320,,,
